8335,instagram.fbkk10-1.fna.fbcdn.net
3465,instagram.fbkk14-1.fna.fbcdn.net
2899,www.toptools100.com
2445,ads.adaptv.advertising.com
2194,captive.apple.com
2079,cdn.garenanow.com
1969,asia.vod.linetv.edgesuite.net
1841,weather.yahooapis.com
1517,valve1000.steamcontent.com
1449,ping3.teamviewer.com
1426,tools.google.com
1384,crl.microsoft.com
1297,imgcdn.ptvcdn.net
1287,real3.atimemedia.com
1223,valve1004.steamcontent.com
1222,cdn.th.garenanow.com
1207,push.bitdefender.net
1143,thai-bloggs.com
1097,i.pinimg.com
984,ctldl.windowsupdate.com
976,ads.mopub.com
964,goappdl.goforandroid.com
879,wsxc123.cc
836,au.download.windowsupdate.com
818,203.151.183.193
812,www.muangsiri.com
800,202.28.103.74
784,pingma.qq.com:80
765,muangsiri.com
755,ctestream02.stou.ac.th
737,armmf.adobe.com
733,adm.shinobi.jp
722,bcboltbbtv-a.akamaihd.net
710,203.151.183.193:80
705,ssw.live.com
693,cdn.samsungcloudsolution.com
664,valve1002.steamcontent.com
615,www.mizunoshop.net
608,www.wpkms.com
607,www.superheroesmania.com
546,smce.doae.go.th
528,swupmf.adobe.com
512,awebtoon.phinf.naver.net
497,valve1006.steamcontent.com
488,valve1007.steamcontent.com
485,valve1011.steamcontent.com
481,gllto.glpals.com
472,mds.nipa.co.th
464,redir.adap.tv
459,valve1003.steamcontent.com
458,update.eset.com
457,gsp1.apple.com
450,detectportal.firefox.com
418,connectivitycheck.android.com
412,adultok.xclubporn.com
411,ssp.lkqd.net
396,sg-nvapis.line.me
390,lakorn.guchill.com
388,cs.gssprt.jp
371,b.scorecardresearch.com
354,goupdate.3g.cn
354,connectivitycheck.gstatic.com
354,281596-lh.akamaihd.net
350,cdn.th.sf.garenanow.com
343,ads.stickyadstv.com
342,cdn.akamai.steamstatic.com
338,soma.smaato.net
332,metrics.brightcove.com
330,2.bp.blogspot.com
324,proxy-081.dc3.dailymotion.com
320,valve1009.steamcontent.com
319,t.lkqd.net
316,gspe19.ls.apple.com
314,pingsl.avast.com
313,ps.eyeota.net
313,imgcache.wechat.com
304,certificates.intel.com
302,stickershop.line-cdn.net
300,init-p01st.push.apple.com
296,global.apis.naver.com
294,www.si.mahidol.ac.th
292,static1-velaeasy.readyplanet.com
287,www.toyotaracingschool.com
